Load_name,Bus_name,Phase,P,Q
BA417_417794178-L_A,1031710005,1,6,2.9
BA417_417794178-L_B,1031710005,2,6,2.9
BA417_417794178-L_C,1031710005,3,6,2.9
RV79Q_417753599-L_A,1031632062,1,29.9,6.1
RV82Q_417794019-L_A,1031708891,1,22.2,-7.5
RV82Q_417794019-L_B,1031708891,2,17.7,15.6
RV83Q_417793635-L_A,1031684731,1,19.9,4.1
RV84Q_417698076-L_A,1031470982,1,39.9,8.1
RV85Q_417794946-L_A,1031745439,1,19.9,4.1
RV86Q_417753238-L_A,1031629537,1,39.9,8.1
RV87Q_417794973-L_A,1031745623,1,29.9,6.1
RV74Q_417752699-L_C,1031600000,3,10,4.8
RV92Q_417753476-L_A,1031631198,1,2.2,3.2
RV92Q_417753476-L_C,1031631198,3,3.8,-0.3
RV94Q_417830315-L_A,1031249685,1,39.9,8.1
